Kota,Kecamatan,Kelurahan,Waktu Prakiraan,Suhu (°C),Kelembapan (%),Kondisi Cuaca,Kecepatan Angin (km/jam),Latitude,Longitude
Kabupaten Bandung,Ciwidey,Ciwidey,2026-01-27 10:00:00,22,74,Berawan,8.1,-7.1024331836,107.4543651977
Kabupaten Bandung,Ciwidey,Lebakmuncang,2026-01-27 10:00:00,22,73,Berawan,7.5,-7.102632211,107.4154058743
Kabupaten Bandung,Ciwidey,Nengkelan,2026-01-27 10:00:00,23,74,Berawan,8.1,-7.0677126521,107.4527186825
Kabupaten Bandung,Ciwidey,Panundaan,2026-01-27 10:00:00,22,74,Berawan,8.1,-7.10988394,107.4389098487
Kabupaten Bandung,Ciwidey,Panyocokan,2026-01-27 10:00:00,22,74,Berawan,8.1,-7.0930497892,107.4565137759
Kabupaten Bandung,Ciwidey,Rawabogo,2026-01-27 10:00:00,23,73,Berawan,7.5,-7.0659722568,107.4348881481
Kabupaten Bandung,Ciwidey,Sukawening,2026-01-27 10:00:00,23,74,Berawan,8.1,-7.0658613633,107.466538736
Kabupaten Bandung,Dayeuhkolot,Cangkuang Kulon,2026-01-27 10:00:00,26,66,Berawan,9.0,-6.9704870167,107.5940808025
Kabupaten Bandung,Dayeuhkolot,Cangkuang Wetan,2026-01-27 09:00:00,24,73,Cerah Berawan,9.0,-6.971019066,107.6046196578
Kabupaten Bandung,Dayeuhkolot,Citeureup,2026-01-27 10:00:00,26,66,Berawan,9.0,-6.9796942842,107.6259793872
Kabupaten Bandung,Dayeuhkolot,Dayeuhkolot,2026-01-27 10:00:00,26,66,Berawan,9.0,-6.9847741817,107.6219535108
Kabupaten Bandung,Dayeuhkolot,Pasawahan,2026-01-27 10:00:00,26,66,Berawan,9.0,-6.9687359201,107.6145710111
Kabupaten Bandung,Dayeuhkolot,Sukapura,2026-01-27 10:00:00,26,66,Berawan,9.0,-6.968772079,107.6283301266
Kabupaten Bandung,Ibun,Cibeet,2026-01-27 10:00:00,25,68,Berawan,10.3,-7.0858944588,107.7609930719
Kabupaten Bandung,Ibun,Dukuh,2026-01-27 10:00:00,24,69,Berawan,10.3,-7.1305979151,107.7589020512
Kabupaten Bandung,Ibun,Ibun,2026-01-27 10:00:00,24,67,Berawan,10.3,-7.129959159,107.7716556896
Kabupaten Bandung,Ibun,Karyalaksana,2026-01-27 10:00:00,25,68,Berawan,10.3,-7.0779819946,107.7526759751
Kabupaten Bandung,Ibun,Laksana,2026-01-27 10:00:00,24,67,Berawan,10.3,-7.1330267121,107.7846906414
Kabupaten Bandung,Ibun,Lampegan,2026-01-27 10:00:00,25,68,Berawan,10.3,-7.0702214353,107.7587043388
